;;;;;;;;;;;;;;;;;;;;;;;H;A;H;A;H;A
2019;7;Feb;01:00;USA;NBA;2018/2019;Chicago Bulls;New Orleans Pelicans;CHI;NOP;39;37;H;O;;;120;125;A;O;5;245;1,88;2,04;1,95;1,95;1,83;2
2019;7;Feb;01:00;USA;NBA;2018/2019;Milwaukee Bucks;Washington Wizards;MIL;WAS;50;35;H;O;;;148;129;H;O;19;277;1,1;5,7;1,13;7,22;1,11;6,75
2019;7;Feb;00:30;USA;NBA;2018/2019;Brooklyn Nets;Denver Nuggets;BKN;DEN;30;35;A;O;;;135;130;H;O;5;265;2,02;1,65;2,2;1,75;2,1;1,76
2019;6;Feb;03:30;USA;NBA;2018/2019;Portland Trail Blazers;Miami Heat;POR;MIA;30;34;A;O;;;108;118;A;O;10;226;1,25;3,28;1,34;3,59;1,32;3,45
2019;6;Feb;01:00;USA;NBA;2018/2019;Memphis Grizzlies;Minnesota Timberwolves;MEM;MIN;32;19;H;O;;;108;106;H;O;2;214;1,92;2,01;1,91;2;1,95;1,86
2019;6;Feb;01:00;USA;NBA;2018/2019;Oklahoma City Thunder;Orlando Magic;OKC;ORL;31;32;A;O;;;132;122;H;O;10;254;1,17;4,3;1,21;5,11;1,2;4,75
2019;6;Feb;01:00;USA;NBA;2018/2019;Philadelphia 76ers;Toronto Raptors;PHI;TOR;28;40;A;O;;;107;119;A;O;12;226;1,46;2,48;1,53;2,71;1,52;2,67
2019;6;Feb;00:30;USA;NBA;2018/2019;New York Knicks;Detroit Pistons;NYK;DET;28;36;A;O;;;92;105;A;U;13;197;2,27;1,59;2,36;1,67;2,45;1,6
2019;6;Feb;00:00;USA;NBA;2018/2019;Charlotte Hornets;Los Angeles Clippers;CHA;LAC;25;26;A;O;;;115;117;A;O;2;232;1,57;2,07;1,63;2,44;1,76;2,1
2019;6;Feb;00:00;USA;NBA;2018/2019;Cleveland Cavaliers;Boston Celtics;CLE;BOS;30;28;H;O;;;96;103;A;O;7;199;7,4;1,07;8,07;1,11;8;1,09
2019;6;Feb;00:00;USA;NBA;2018/2019;Indiana Pacers;Los Angeles Lakers;IND;LAL;33;26;H;O;;;136;94;H;O;42;230;2,19;1,53;2,37;1,66;2,35;1,64
2019;5;Feb;03:00;USA;NBA;2018/2019;Sacramento Kings;San Antonio Spurs;SAC;SAS;37;25;H;O;;;127;112;H;O;15;239;2,01;1,74;2,04;1,87;2,05;1,8
2019;5;Feb;02:00;USA;NBA;2018/2019;Phoenix Suns;Houston Rockets;PHX;HOU;28;32;A;O;;;110;118;A;O;8;228;3,48;1,23;4,01;1,29;4;1,26
2019;5;Feb;01:00;USA;NBA;2018/2019;New Orleans Pelicans;Indiana Pacers;NOP;IND;20;25;A;U;;;107;109;A;O;2;216;1,99;1,83;2,04;1,87;1,95;1,86
2019;5;Feb;00:30;USA;NBA;2018/2019;Brooklyn Nets;Milwaukee Bucks;BKN;MIL;17;23;A;U;;;94;113;A;O;19;207;3,16;1,33;3,48;1,36;3,4;1,33
2019;5;Feb;00:00;USA;NBA;2018/2019;Detroit Pistons;Denver Nuggets;DET;DEN;34;36;A;O;;;129;103;H;O;26;232;2,38;1,48;2,51;1,6;2,5;1,58
2019;5;Feb;00:00;USA;NBA;2018/2019;Washington Wizards;Atlanta Hawks;WAS;ATL;20;35;A;O;;;129;137;A;O;8;266;1,38;2,75;1,42;3,14;1,4;3,05
2019;3;Feb;20:00;USA;NBA;2018/2019;Toronto Raptors;Los Angeles Clippers;TOR;LAC;23;23;D;U;;;121;103;H;O;18;224;1,18;5,9;1,2;5,23;1,19;5
2019;3;Feb;19:00;USA;NBA;2018/2019;Boston Celtics;Oklahoma City Thunder;BOS;OKC;31;29;H;O;;;134;129;H;O;5;263;1,55;2,26;1,68;2,34;1,66;2,3
2019;3;Feb;18:00;USA;NBA;2018/2019;New York Knicks;Memphis Grizzlies;NYK;MEM;22;19;H;U;;;84;96;A;U;12;180;1,89;2,07;2;1,9;2,25;1,68
2019;3;Feb;03:00;USA;NBA;2018/2019;Sacramento Kings;Philadelphia 76ers;SAC;PHI;32;26;H;O;;;115;108;H;O;7;223;2,42;1,66;2,43;1,63;2,4;1,62
2019;3;Feb;02:00;USA;NBA;2018/2019;Minnesota Timberwolves;Denver Nuggets;MIN;DEN;38;29;H;O;;;106;107;A;O;1;213;2,02;1,83;1,95;1,95;1,95;1,86
2019;3;Feb;02:00;USA;NBA;2018/2019;Phoenix Suns;Atlanta Hawks;PHX;ATL;30;33;A;O;;;112;118;A;O;6;230;1,66;2;1,75;2,21;1,71;2,2
2019;3;Feb;02:00;USA;NBA;2018/2019;Utah Jazz;Houston Rockets;UTA;HOU;27;31;A;O;;;98;125;A;O;27;223;1,32;3,06;1,37;3,39;1,35;3,3
2019;3;Feb;01:30;USA;NBA;2018/2019;Golden State Warriors;Los Angeles Lakers;GSW;LAL;33;24;H;O;;;115;101;H;O;14;216;1,15;4,45;1,2;5,19;1,18;5,25
2019;3;Feb;01:30;USA;NBA;2018/2019;San Antonio Spurs;New Orleans Pelicans;SAS;NOP;35;24;H;O;;;113;108;H;O;5;221;1,13;4,8;1,2;5,15;1,16;5,5
2019;3;Feb;00:30;USA;NBA;2018/2019;Cleveland Cavaliers;Dallas Mavericks;CLE;DAL;31;40;A;O;;;98;111;A;O;13;209;3,26;1,35;3,22;1,4;4,5;1,22
2019;3;Feb;00:30;USA;NBA;2018/2019;Miami Heat;Indiana Pacers;MIA;IND;27;21;H;U;;;88;95;A;U;7;183;1,57;2,25;1,67;2,35;1,66;2,3
2019;3;Feb;00:00;USA;NBA;2018/2019;Charlotte Hornets;Chicago Bulls;CHA;CHI;27;26;H;O;;;125;118;H;O;7;243;1,35;2,88;1,38;3,35;1,38;3,15
2019;3;Feb;00:00;USA;NBA;2018/2019;Orlando Magic;Brooklyn Nets;ORL;BKN;26;21;H;U;;;102;89;H;U;13;191;1,8;2;1,8;2,13;1,76;2,1
2019;3;Feb;00:00;USA;NBA;2018/2019;Washington Wizards;Milwaukee Bucks;WAS;MIL;26;38;A;O;;;115;131;A;O;16;246;2,79;1,34;3,19;1,41;3,15;1,38
2019;2;Feb;22:00;USA;NBA;2018/2019;Detroit Pistons;Los Angeles Clippers;DET;LAC;40;22;H;O;;;101;111;A;O;10;212;1,86;2,02;1,91;2;1,83;2
2019;2;Feb;03:00;USA;NBA;2018/2019;Denver Nuggets;Houston Rockets;DEN;HOU;35;43;A;O;;;136;122;H;O;14;258;1,53;2,51;1,54;2,66;1,54;2,65
2019;2;Feb;02:00;USA;NBA;2018/2019;Utah Jazz;Atlanta Hawks;UTA;ATL;36;34;H;O;;;128;112;H;O;16;240;1,14;5,5;1,14;6,78;1,12;6,5
2019;2;Feb;01:00;USA;NBA;2018/2019;Miami Heat;Oklahoma City Thunder;MIA;OKC;24;31;A;O;;;102;118;A;O;16;220;2,82;1,51;2,75;1,51;2,3;1,66
2019;2;Feb;00:30;USA;NBA;2018/2019;New York Knicks;Boston Celtics;NYK;BOS;20;25;A;U;;;99;113;A;O;14;212;6,8;1,06;9,61;1,09;10;1,06
2019;2;Feb;00:00;USA;NBA;2018/2019;Charlotte Hornets;Memphis Grizzlies;CHA;MEM;17;29;A;U;;;100;92;H;U;8;192;1,31;2,92;1,54;2,66;1,43;2,9
2019;1;Feb;03:30;USA;NBA;2018/2019;Golden State Warriors;Philadelphia 76ers;GSW;PHI;35;30;H;O;;;104;113;A;O;9;217;1,19;4,4;1,25;4,44;1,2;4,75
2019;1;Feb;03:30;USA;NBA;2018/2019;Los Angeles Clippers;Los Angeles Lakers;LAC;LAL;26;32;A;O;112;112;120;123;A;O;3;243;1,46;2,98;1,46;2,95;1,43;2,9
2019;1;Feb;01:30;USA;NBA;2018/2019;San Antonio Spurs;Brooklyn Nets;SAS;BKN;29;25;H;O;;;117;114;H;O;3;231;1,26;3,52;1,34;3,59;1,32;3,5
2019;1;Feb;01:00;USA;NBA;2018/2019;Toronto Raptors;Milwaukee Bucks;TOR;MIL;25;22;H;U;;;92;105;A;U;13;197;1,65;2,1;1,78;2,17;1,71;2,2
2019;1;Feb;00:00;USA;NBA;2018/2019;Detroit Pistons;Dallas Mavericks;DET;DAL;19;21;A;U;;;93;89;H;U;4;182;1,66;1,96;1,72;2,26;1,74;2,15
2019;1;Feb;00:00;USA;NBA;2018/2019;Orlando Magic;Indiana Pacers;ORL;IND;24;19;H;U;;;107;100;H;O;7;207;1,62;2,22;1,8;2,13;1,74;2,15
2019;31;Jan;03:30;USA;NBA;2018/2019;Portland Trail Blazers;Utah Jazz;POR;UTA;45;27;H;O;;;132;105;H;O;27;237;1,76;1,96;1,91;2;1,86;1,95
2019;31;Jan;03:00;USA;NBA;2018/2019;Sacramento Kings;Atlanta Hawks;SAC;ATL;32;31;H;O;;;135;113;H;O;22;248;1,35;2,72;1,47;2,93;1,44;2,85
2019;31;Jan;01:00;USA;NBA;2018/2019;Minnesota Timberwolves;Memphis Grizzlies;MIN;MEM;24;16;H;U;93;93;99;97;H;U;2;196;1,37;2,76;1,46;2,95;1,36;3,25
2019;31;Jan;01:00;USA;NBA;2018/2019;New Orleans Pelicans;Denver Nuggets;NOP;DEN;26;29;A;O;;;99;105;A;O;6;204;1,33;1,26;3,83;1,31;3,75;1,28
2019;31;Jan;01:00;USA;NBA;2018/2019;Washington Wizards;Indiana Pacers;WAS;IND;35;25;H;O;;;107;89;H;U;18;196;1,88;1,78;1,91;2;1,95;1,86
2019;31;Jan;00:30;USA;NBA;2018/2019;Boston Celtics;Charlotte Hornets;BOS;CHA;35;28;H;O;;;126;94;H;O;32;220;1,34;3,64;1,34;3,6;1,28;3,75
2019;31;Jan;00:30;USA;NBA;2018/2019;Miami Heat;Chicago Bulls;MIA;CHI;21;31;A;O;;;89;105;A;U;16;194;1,14;5,1;1,17;5,8;1,15;5,75
2019;31;Jan;00:30;USA;NBA;2018/2019;New York Knicks;Dallas Mavericks;NYK;DAL;20;24;A;U;;;90;114;A;O;24;204;2,83;1,37;3,06;1,43;3;1,41
2019;30;Jan;03:30;USA;NBA;2018/2019;Los Angeles Lakers;Philadelphia 76ers;LAL;PHI;20;39;A;O;;;105;121;A;O;16;226;3,72;1,34;3,48;1,36;3,4;1,33
2019;30;Jan;01:30;USA;NBA;2018/2019;San Antonio Spurs;Phoenix Suns;SAS;PHX;33;33;D;O;;;126;124;H;O;2;250;1,1;9,6;1,09;9,24;1,12;6,5
2019;30;Jan;01:00;USA;NBA;2018/2019;Houston Rockets;New Orleans Pelicans;HOU;NOP;35;28;H;O;;;116;121;A;O;5;237;1,19;5,1;1,21;5,12;1,2;4,75
2019;30;Jan;00:30;USA;NBA;2018/2019;Brooklyn Nets;Chicago Bulls;BKN;CHI;20;19;H;U;;;122;117;H;O;5;239;1,29;3,08;1,36;3,44;1,34;3,35
2019;30;Jan;00:00;USA;NBA;2018/2019;Cleveland Cavaliers;Washington Wizards;CLE;WAS;26;24;H;U;;;116;113;H;O;3;229;3,06;1,31;3,11;1,42;3,1;1,4
2019;30;Jan;00:00;USA;NBA;2018/2019;Detroit Pistons;Milwaukee Bucks;DET;MIL;22;30;A;O;;;105;115;A;O;10;220;2,97;1,32;3,22;1,4;3,15;1,38
2019;30;Jan;00:00;USA;NBA;2018/2019;Orlando Magic;Oklahoma City Thunder;ORL;OKC;35;32;H;O;;;117;126;A;O;9;243;2,74;1,41;2,95;1,46;2,85;1,44
